cell,amb,cycle,soh
B0005,24.0,1.0,1.0
B0005,24.0,2.0,0.9945272071416716
B0005,24.0,3.0,0.9886138595081708
B0005,24.0,4.0,0.9885671763794174
B0005,24.0,5.0,0.9882348178817772
B0005,24.0,6.0,0.9887821697485945
B0005,24.0,7.0,0.9885044855913476
B0005,24.0,8.0,0.9834468955151549
B0005,24.0,9.0,0.9829174345738104
B0005,24.0,10.0,0.9828309354731992
B0005,24.0,11.0,0.982834320462208
B0005,24.0,12.0,0.977222853989428
B0005,24.0,13.0,0.9769805803238794
B0005,24.0,14.0,0.9768127007692818
B0005,24.0,15.0,0.9709723768751648
B0005,24.0,16.0,0.9707078432300708
B0005,24.0,17.0,0.9709624103091468
B0005,24.0,18.0,0.9712257104811376
B0005,24.0,19.0,0.971069130069902
B0005,24.0,20.0,0.994903587398902
B0005,24.0,21.0,0.995114370594272
B0005,24.0,22.0,0.989059985409806
B0005,24.0,23.0,0.9834597999985366
B0005,24.0,24.0,0.9831004632950898
B0005,24.0,25.0,0.9833524772367372
B0005,24.0,26.0,0.977130847840027
B0005,24.0,27.0,0.9775284086310274
B0005,24.0,28.0,0.9770975921350076
B0005,24.0,29.0,0.971062688037682
B0005,24.0,30.0,0.9717690623092357
B0005,24.0,31.0,0.9974764875349148
B0005,24.0,32.0,0.9861116348782738
B0005,24.0,33.0,0.9802943389447216
B0005,24.0,34.0,0.9745867078945716
B0005,24.0,35.0,0.9720560906279804
B0005,24.0,36.0,0.9692374130950108
B0005,24.0,37.0,0.9633478867036308
B0005,24.0,38.0,0.9603744299218226
B0005,24.0,39.0,0.9550475246530082
B0005,24.0,40.0,0.9550497004162604
B0005,24.0,41.0,0.9522672175646096
B0005,24.0,42.0,0.9492739086983168
B0005,24.0,43.0,0.9521299593373236
B0005,24.0,44.0,0.949464208578551
B0005,24.0,45.0,0.9435725054869608
B0005,24.0,46.0,0.9382501520146928
B0005,24.0,47.0,0.9351484592444022
B0005,24.0,48.0,0.9661385230754256
B0005,24.0,49.0,0.960517697201241
B0005,24.0,50.0,0.9519936347583844
B0005,24.0,51.0,0.9464205172265512
B0005,24.0,52.0,0.9409547290193552
B0005,24.0,53.0,0.9381788592880078
B0005,24.0,54.0,0.9353268361401416
B0005,24.0,55.0,0.92988603346571
B0005,24.0,56.0,0.9242220117908768
B0005,24.0,57.0,0.9213816005181208
B0005,24.0,58.0,0.9189475137389712
B0005,24.0,59.0,0.91587532896664
B0005,24.0,60.0,0.9127882263985314
B0005,24.0,61.0,0.9075757205607076
B0005,24.0,62.0,0.9019582574806932
B0005,24.0,63.0,0.9020094772578232
B0005,24.0,64.0,0.8961635599169331
B0005,24.0,65.0,0.8936305466681351
B0005,24.0,66.0,0.8908512057704356
B0005,24.0,67.0,0.8848181591266644
B0005,24.0,68.0,0.8822348186450749
B0005,24.0,69.0,0.8794754127611388
B0005,24.0,70.0,0.8767917699307697
B0005,24.0,71.0,0.8737605584239755
B0005,24.0,72.0,0.8679432148624368
B0005,24.0,73.0,0.865377875300024
B0005,24.0,74.0,0.8626582682073706
B0005,24.0,75.0,0.8566549999565575
B0005,24.0,76.0,0.8541878490754121
B0005,24.0,77.0,0.8537321895986371
B0005,24.0,78.0,0.8594329115068512
B0005,24.0,79.0,0.8482309964083233
B0005,24.0,80.0,0.8429370312695895
B0005,24.0,81.0,0.8401704907053152
B0005,24.0,82.0,0.8400173086716404
B0005,24.0,83.0,0.8374359751414074
B0005,24.0,84.0,0.8343035835418967
B0005,24.0,85.0,0.8285736718133293
B0005,24.0,86.0,0.8230135260370757
B0005,24.0,87.0,0.8233426447360579
B0005,24.0,88.0,0.8201764839394089
B0005,24.0,89.0,0.8173963242800902
B0005,24.0,90.0,0.8649769888680269
B0005,24.0,91.0,0.8423699116610505
B0005,24.0,92.0,0.8338820438085877
B0005,24.0,93.0,0.8254166152720489
B0005,24.0,94.0,0.8224956494324318
B0005,24.0,95.0,0.817111543392579
B0005,24.0,96.0,0.8143861246029738
B0005,24.0,97.0,0.8115131183620761
B0005,24.0,98.0,0.8088098717121405
B0005,24.0,99.0,0.8030457886878685
B0005,24.0,100.0,0.8003654470798279
B0005,24.0,101.0,0.7974272604140162
B0005,24.0,102.0,0.7946240682056632
B0005,24.0,103.0,0.800384415303801
B0005,24.0,104.0,0.8058723226653156
B0005,24.0,105.0,0.7976356737393389
B0005,24.0,106.0,0.7916855834115801
B0005,24.0,107.0,0.7831462853887026
B0005,24.0,108.0,0.7832782438583529
B0005,24.0,109.0,0.7837509350133122
B0005,24.0,110.0,0.7805289427291895
B0005,24.0,111.0,0.7749424644709049
B0005,24.0,112.0,0.7721277376203589
B0005,24.0,113.0,0.7721010517012334
B0005,24.0,114.0,0.7692294908297355
B0005,24.0,115.0,0.7664583676775117
B0005,24.0,116.0,0.7635004777498813
B0005,24.0,117.0,0.7607965521102183
B0005,24.0,118.0,0.7608878881159706
B0005,24.0,119.0,0.7582051768100097
B0005,24.0,120.0,0.7720989824377315
B0005,24.0,121.0,0.7747184287655713
B0005,24.0,122.0,0.7634604477007024
B0005,24.0,123.0,0.757872985240904
B0005,24.0,124.0,0.7547607178190571
B0005,24.0,125.0,0.7523351936621818
B0005,24.0,126.0,0.749417837821699
B0005,24.0,127.0,0.7466944037718939
B0005,24.0,128.0,0.7435744841131501
B0005,24.0,129.0,0.740773354887346
B0005,24.0,130.0,0.7382289732324249
B0005,24.0,131.0,0.7382266861916331
B0005,24.0,132.0,0.7351170256067291
B0005,24.0,133.0,0.7408571700903982
B0005,24.0,134.0,0.746631245442362
B0005,24.0,135.0,0.7378719555127385
B0005,24.0,136.0,0.7351424952422321
B0005,24.0,137.0,0.7295077959801873
B0005,24.0,138.0,0.7296799787853684
B0005,24.0,139.0,0.7297134934112404
B0005,24.0,140.0,0.7268107407422197
B0005,24.0,141.0,0.7240497181525037
B0005,24.0,142.0,0.7212499067079483
B0005,24.0,143.0,0.7212085080709221
B0005,24.0,144.0,0.7185648881952922
B0005,24.0,145.0,0.7156765060826297
B0005,24.0,146.0,0.712728179243196
B0005,24.0,147.0,0.7100339835664495
B0005,24.0,148.0,0.7101941165230105
B0005,24.0,149.0,0.7101007124097442
B0005,24.0,150.0,0.7131060557689289
B0005,24.0,151.0,0.7326317762261327
B0005,24.0,152.0,0.7215404057003532
B0005,24.0,153.0,0.7158834698305494
B0005,24.0,154.0,0.7129992439790139
B0005,24.0,155.0,0.7102843154047167
B0005,24.0,156.0,0.7075055383642602
