hour,strategy,signal,soc_pct,cum_shortfall
0,Naive,6.00050928317325,65.95315444214616,0.0
1,Naive,6.09081531859374,80.3253936638625,0.0
2,Naive,5.9253099193333165,95.0,0.049368030181798694
3,Naive,5.769972559467261,95.0,1.1356463851877638
4,Naive,6.013882085111406,95.0,2.5957403827405825
5,Naive,6.152693690535771,95.0,4.169881502008916
6,Naive,7.157743726104794,95.0,4.9790935998336625
7,Naive,8.667176169143126,84.44081174037224,4.9790935998336625
8,Naive,8.865062326071786,70.37505821644191,4.9790935998336625
9,Naive,9.205274422672998,50.2807075229525,4.9790935998336625
10,Naive,9.3113415008989,28.30683610063631,4.9790935998336625
11,Naive,8.267805165661516,24.824547558817446,4.9790935998336625
12,Naive,7.17392820195858,39.17550332090025,4.9790935998336625
13,Naive,6.1732610198912266,69.52953185896612,4.9790935998336625
14,Naive,6.157308404113544,95.0,5.284347726769304
15,Naive,6.372014669858714,95.0,6.9391420965758375
16,Naive,6.242926503786384,95.0,8.990389011993573
17,Naive,8.200365978833574,95.0,9.656443920838766
18,Naive,10.01074619475145,79.08109317857995,9.656443920838766
19,Naive,11.694051114930009,33.33383112651928,9.656443920838766
20,Naive,10.043523412336963,16.83410835617597,9.65644392098829
21,Naive,8.292581392944987,26.89961808821414,9.65644392098829
22,Naive,6.2614449576093465,49.941573863913575,9.65644392098829
23,Naive,6.202045684017368,64.63786719661823,9.65644392098829
24,Naive,6.047166653576951,75.4666320426799,9.65644392098829
25,Naive,5.945083861848135,83.41378848070245,9.65644392098829
26,Naive,5.251664862502532,95.0,9.68478351495526
27,Naive,5.876226360064708,95.0,10.130527378472436
28,Naive,6.138856062068322,95.0,10.753184863434136
29,Naive,6.510349760279088,95.0,11.477398008881739
30,Naive,6.590309494561303,95.0,12.47455696855203
31,Naive,7.928821224487812,95.0,12.6764119846915
32,Naive,8.644063925916184,88.37926177283403,12.6764119846915
33,Naive,9.115802311359461,73.75971217329361,12.6764119846915
34,Naive,9.570850713140894,50.67689467382218,12.6764119846915
35,Naive,7.7948835639488365,54.99611417361406,12.6764119846915
36,Naive,7.124710482900238,67.09480810964641,12.6764119846915
37,Naive,6.760773688352178,81.65448599279202,12.6764119846915
38,Naive,5.986393657878589,95.0,13.301283859850098
39,Naive,6.123540483799585,95.0,15.106777925716013
40,Naive,6.729716629811869,95.0,17.414172782662437
41,Naive,8.419154564586542,95.0,18.650214384774426
42,Naive,10.384745789191053,90.16096243569078,18.650214384774426
43,Naive,12.547600736927674,46.99588849265914,18.650214384774426
44,Naive,11.813785267628578,16.83410835949742,18.650214384774426
45,Naive,7.742095129486823,16.83410835617597,18.650214412479876
46,Naive,6.972347705900083,16.83410835617597,18.65021441427177
47,Naive,6.155568325267603,18.236950713578633,18.65021441427177
0,Degradation-aware,6.00050928317325,51.27343036195023,0.0
1,Degradation-aware,6.09081531859374,54.368403465175504,0.0
2,Degradation-aware,5.9253099193333165,57.35514669589297,0.0
3,Degradation-aware,5.769972559467261,60.18193832701604,0.0
4,Degradation-aware,6.013882085111406,62.7763483183664,0.0
5,Degradation-aware,6.152693690535771,64.94084258647095,0.0
6,Degradation-aware,7.157743726104794,66.81210924594944,0.0
7,Degradation-aware,8.667176169143126,68.89350972613173,0.0
8,Degradation-aware,8.865062326071786,70.06978836742903,0.0
9,Degradation-aware,9.205274422672998,67.10448819013894,0.0
10,Degradation-aware,9.3113415008989,62.259667693886286,0.0
11,Degradation-aware,8.267805165661516,65.48489444327646,0.0
12,Degradation-aware,7.17392820195858,69.42457834118095,0.0
13,Degradation-aware,6.1732610198912266,73.64688930947933,0.0
14,Degradation-aware,6.157308404113544,78.32472121625548,0.0
15,Degradation-aware,6.372014669858714,84.27466579450213,0.0
16,Degradation-aware,6.242926503786384,92.05373624574491,0.0
17,Degradation-aware,8.200365978833574,95.0,0.23513771171473152
18,Degradation-aware,10.01074619475145,79.08109322806166,0.23513771171473152
19,Degradation-aware,11.694051114930009,33.33383122297299,0.23513771171473152
20,Degradation-aware,10.043523412336963,27.89790255814259,0.23513771171473152
21,Degradation-aware,8.292581392944987,32.57498817138372,0.23513771171473152
22,Degradation-aware,6.2614449576093465,36.52240377946887,0.23513771171473152
23,Degradation-aware,6.202045684017368,39.75167621868137,0.23513771171473152
24,Degradation-aware,6.047166653576951,42.89592299727077,0.23513771171473152
25,Degradation-aware,5.945083861848135,45.783069918607126,0.23513771171473152
26,Degradation-aware,5.251664862502532,48.52623473626901,0.23513771171473152
27,Degradation-aware,5.876226360064708,51.11540933167436,0.23513771171473152
28,Degradation-aware,6.138856062068322,53.58170155325234,0.23513771171473152
29,Degradation-aware,6.510349760279088,55.91021219498504,0.23513771171473152
30,Degradation-aware,6.590309494561303,58.125707651948844,0.23513771171473152
31,Degradation-aware,7.928821224487812,60.34244083680781,0.23513771171473152
32,Degradation-aware,8.644063925916184,62.5922592788138,0.23513771171473152
33,Degradation-aware,9.115802311359461,64.89056480220621,0.23513771171473152
34,Degradation-aware,9.570850713140894,66.79305434676516,0.23513771171473152
35,Degradation-aware,7.7948835639488365,69.58435263427411,0.23513771171473152
36,Degradation-aware,7.124710482900238,72.63510055585172,0.23513771171473152
